,0
0,13.709780643893179
1,13.863464198794192
2,14.059535970374316
3,13.617230782978453
4,13.585557739769008
5,13.622098403689948
6,13.608272024343517
7,13.868276430114047
8,14.035359869453504
9,14.00086537372727
10,14.115357838743169
11,14.053750118106198
12,13.73294343321891
13,13.797293419437601
14,13.44625060972539
15,13.451162605252794
16,13.698523963784737
17,13.597480250429836
18,13.731821733229076
19,13.28932429038256
20,12.758172300815072
21,12.699309247662036
22,12.539199608729344
23,12.55368418560439
24,12.503672028469836
25,12.599720552309282
26,12.396192943876656
27,11.97638386314108
28,12.10955637136978
29,11.88580698341315
30,12.058071012531112
31,12.227378651958164
32,12.188491460642593
33,12.335436161940809
34,12.420782570841464
35,12.222997045623123
36,12.344543385232459
37,12.192039797753612
38,12.342625197701562
39,12.542504310974063
40,12.337161605964038
41,12.447923833021541
42,12.735112980040999
43,12.873291795050365
44,12.454938813279064
45,12.184620326372066
46,12.718664967566376
47,12.29949280419888
48,12.650099313877135
49,13.09209995695534
50,12.777352076655431
51,13.780067628979143
52,14.179172868468633
53,13.865505732131078
54,14.21965638368421
55,14.58036832003505
56,14.082732357110247
57,14.232812022496091
58,14.679066579473163
59,14.225099492128255
60,14.238349630771705
61,14.415493131703744
